LSA,Operator,800 Mhz,900 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2600 Mhz
Andhra Pradesh,Aircel,0,0,4.4,5,20,0
Andhra Pradesh,Bharti Airtel,0,16.8,12.2,5,0,0
Andhra Pradesh,BSNL/ MTNL,3.75,6.2,3.8,5,0,20
Andhra Pradesh,Idea Cellular,0,11.2,7.8,5,0,0
Andhra Pradesh,Reliance Comm,5,0,4.4,0,0,0
Andhra Pradesh,Reliance Jio ,0,0,5.8,0,20,0
Andhra Pradesh,Tata DoCoMo,8.69,0,7,2.6,0,0
Andhra Pradesh,Telewings,0,0,6.4,0,0,0
Andhra Pradesh,Vodafone Essar,0,0,6.8,0,0,0
Assam,Aircel,0,4.4,1.8,5,20,0
Assam,Bharti Airtel,0,8,5.65,5,0,0
Assam,BSNL/ MTNL,2.5,6.2,3.8,5,0,20
Assam,Idea Cellular,0,0,5,0,0,0
Assam,Reliance Comm,7.42,6.2,0,5,0,0
Assam,Reliance Jio,4.92,0,5.4,0,20,0
Assam,Tata DoCoMo,0,0,4.4,0,0,0
Assam,Vodafone Essar,0,0,6.9,5,0,0
Assam,Telewings,0,0,6,0,0,0
Bihar,Aircel,0,0,4.4,5,20,0
Bihar,Bharti Airtel,0,7.8,3,5,0,0
Bihar,BSNL/ MTNL,2.5,6.2,3.8,5,0,20
Bihar,Idea Cellular,0,0,5.65,0,0,0
Bihar,Reliance Comm,5,6.2,1.8,5,0,0
Bihar,Reliance Jio,4.92,0,0,0,20,0
Bihar,Stel,0,0,0,5,0,0
Bihar,Tata DoCoMo,3.75,0,4.4,0,0,0
Bihar,Telewings,0,0,7.2,0,0,0
Bihar,Videocon,0,0,5,0,0,0
Bihar,Vodafone Essar,0,0,6.9,0,0,0
Bihar,Tikona,0,0,0,0,20,0
Delhi,Aircel,0,0,4.4,0,0,0
Delhi,Bharti Airtel,0,14,9,5,0,0
Delhi,BSNL/ MTNL,3.75,6.2,6.2,5,0,20
Delhi,Idea Cellular,0,5,8.6,0,0,0
Delhi,Reliance Comm,5,0,4.4,5,0,0
Delhi,Reliance Jio,0,0,5.4,0,20,0
Delhi,Sistema Shyam,3.75,0,0,0,0,0
Delhi,Tata DoCoMo,6.23,0,0,0,0,0
Delhi,Vodafone Essar,0,13,10,5,0,0
Delhi,Qualcomm/ Airtel,0,0,0,0,20,0
Gujarat,Aircel,0,0,4.4,0,0,0
Gujarat,Bharti Airtel,0,0,6.2,0,0,0
Gujarat,BSNL/ MTNL,2.5,6.2,1.2,5,0,20
Gujarat,Idea Cellular,0,11.2,1.6,5,0,0
Gujarat,Reliance Comm,9.92,0,4.4,0,0,0
Gujarat,Reliance Jio,4.92,0,6,0,20,0
Gujarat,Sistema Shyam,3.75,0,0,0,0,0
Gujarat,Tata DoCoMo,3.75,0,4.4,5,0,0
Gujarat,Telewings,0,0,5,0,0,0
Gujarat,Videocon,0,0,5,0,0,0
Gujarat,Vodafone Essar,0,13.8,9.8,5,0,0
Gujarat,Tikona,0,0,0,0,20,0
Haryana,Aircel,0,0,4.4,0,0,0
Haryana,Bharti Airtel,0,0,9.6,5,0,0
Haryana,BSNL/ MTNL,2.5,6.2,3.8,5,0,20
Haryana,Idea Cellular,0,12.2,6,5,0,0
Haryana,Reliance Comm,4.98,0,5,0,0,0
Haryana,Reliance Jio,4.92,0,4,0,20,0
Haryana,Tata DoCoMo,6.23,0,4.4,5,0,0
Haryana,Videocon,0,0,5,0,0,0
Haryana,Vodafone Essar,0,12.4,4.9,5,0,0
Haryana,Qualcomm,0,0,0,0,20,0
Himachal Pradesh,Aircel,0,7.4,4.4,0,0,0
Himachal Pradesh,Bharti Airtel,0,6.2,10.2,5,0,0
Himachal Pradesh,BSNL/ MTNL,2.5,6.2,3.8,5,0,20
